Class,Sentence
NomAnaph,"She  might  have  burnt  the  new  one,  mistaking  it  for  the  earlier  one  in  his  favour. "
NomAnaph,"My  idea  was...a  very  ridiculous  one,  no  doubt...that  she  had  intended  to  poison  him...and  that,  in  some  way,  Mrs.  Inglethorp  got  hold  of  it  by  mistake. "
ClauseAnaph,But  I  don't  at  all  see  how  it  could  have  been  done. 
ClauseAnaph,But  what  does  it  mean? 
NomAnaph,"Dr  Bauerstein  had  it  tested,  and  you  yourself  laughed  at  the  possibility  of  there  being  strychnine  in  it. "
NomAnaph,"I  know  Dr  Bauerstein  had  it  tested,  replied  Poirot  quietly. "
NomAnaph,"Well,  I  have  a  fancy  for  having  it  analysed  again,  that  is  all. "
ClauseAnaph,"It  was  bad  enough  before,  when  we  thought  he'd  done  it,  but  I'm  hanged  if  it  isn't  worse  now,  when  we  all  feel  guilty  for  having  been  so  down  on  the  fellow. "
ClauseAnaph,Naturally  it  was  very  annoying  for  the  Cavendishes. 
NomAnaph,"It's  up  in  the  front  attic,  sir. "
NomAnaph,"We  will  look  at  the  chest,  although...but  no  matter...we  will  examine  it  all  the  same. "
NomAnaph,"He  seemed  somewhat  apathetic  in  the  search,  as  though  he  expected  no  great  results  from  it. "
NomAnaph,"He  turned  it  over  in  his  hands,  examining  it  closely. "
NomAnaph,"After  a  moment's  hesitation,  he  replaced  it  in  the  chest,  heaped  all  the  other  things  on  top  of  it  as  before,  and  made  his  way  briskly  downstairs. "
NomAnaph,I  am  much  obliged  to  you  for  mentioning  it. 
NomAnaph,"And  very  funny  it  is  sometimes,  sir. "
NomAnaph,"I  shall  never  forget  the  night  he  came  down  as  the  Char  of  Persia,  I  think  he  called  it...a  sort  of  Eastern  King  it  was. "
NomAnaph,"And  well  I  know  it,  for  he  borrowed  two  skeins  of  my  black  wool  to  make  it  with! "
NomAnaph,And  I'm  sure  it  looked  wonderfully  natural  at  a  distance. 
NomAnaph,Burnt  corks  they  use  mostly...though  'tis  messy  getting  it  off  again. 
NomAnaph,Do  you  think  it  is  the  one? 
NomAnaph,You  notice  it  had  been  trimmed? 
NomAnaph,"It  was  cut  exactly  the  shape  of  Mr.  Inglethorp's,  and  I  found  one  or  two  snipped  hairs. "
NomAnaph,"Who  put  it  in  the  chest,  I  wonder? "
NomAnaph,You  realize  that  he  chose  the  one  place  in  the  house  to  hide  it  where  its  presence  would  not  be  remarked? 
ClauseAnaph,"I  was  hurt,  and  showed  it. "
NomAnaph,I  beg  of  you  to  reply  to  it  truthfully. 
NomAnaph,It  is  this. 
ClauseAnaph,"If  I'm  convinced  he  did  it,  it  doesn't  matter  a  jot  to  me  how  he  did  it. "
ClauseAnaph,"If  you  are  convinced  he  did  it,  said  Poirot  quietly. "
NomAnaph,"He  repeated  it  to  me,  and  there  is  a  sentence  of  yours  that  has  impressed  me  very  much. "
ClauseAnaph,I  believe  it  too. 
ClauseAnaph,I  suppose  you  think  it  nonsense? 
NomAnaph,You  believe  him  capable  of  committing  it. 
NomAnaph,But  your  instinct  tells  you  he  did  not  commit  it. 
NomAnaph,It  tells  you  more...shall  I  go  on? 
ClauseAnaph,"Oh,  don't  say  it! "
ClauseAnaph,It  isn't  true! 
ClauseAnaph,It  can't  be  true. 
ClauseAnaph,"I  won't  admit  it,  even  to  myself. "
NomAnaph,Let  the  cost  be  what  it  may. 
NomAnaph,It  can  neither  be  explained  nor  ignored. 
NomAnaph,The  remark  seemed  so  utterly  irrelevant  that  I  did  not  even  take  the  trouble  to  answer  it. 
NomAnaph,"Otherwise,  Poirot  himself  might  relieve  me  of  it. "
NomAnaph,"A  really  perfect  bit  of  old  china...it's  pure  delight  to  handle  it,  or  even  to  look  at  it. "
NomAnaph,"Say  it  over  again,  will  you? "
NomAnaph,"What  I  want  to  ask  is  this:  the  door  leading  into  Mrs.  Inglethorp's  room  from  that  of  Mademoiselle  Cynthia,  it  was  bolted,  you  say? "
NomAnaph,"Certainly  it  was  bolted,  replied  Mary  Cavendish,  rather  surprised. I "
NomAnaph,"I  mean,  explained  Poirot,  you  are  sure  it  was  bolted,  and  not  merely  locked? "
NomAnaph,"I  said  bolted,  meaning  that  it  was  fastened,  and  I  could  not  open  it,  but  I  believe  all  the  doors  were  found  bolted  on  the  inside. "
NomAnaph,I...I  believe  it  was. 
NomAnaph,But  you  did  not  see  it? 
NomAnaph,I  happened  to  notice  that  it  was  bolted. 
NomAnaph,Do  you  think  she  would  show  it  to  me? 
NomAnaph,It's  an  interesting  little  place. 
ClauseAnaph,"After  all,  it  is  very  responsible  work. "
NomAnaph,"It  is  near  the  window,  this  cupboard? "
NomAnaph,"I  thought  about  the  crime,  and  it  struck  me  as  being  very  unreal  and  far  off. "
NomAnaph,"Probably,  I  thought,  it  really  never  happened. "
NomAnaph,"Of  course,  it  was  all  a  bad  dream. "
NomAnaph,It  leavens  the ...she  looked  at  him... stolid  stupidity  of  the  ordinary  Englishman. 
NomAnaph,"She  hesitated,  and  suddenly  there  swept  across  her  face  a  strange  expression,  old  as  the  hills,  yet  with  something  eternally  young  about  it. "
ClauseAnaph,"Pretty  thick,  isn't  it? "
ClauseAnaph,It  can't  last  for  ever. 
ClauseAnaph,"Can't  it,  though? "
ClauseAnaph,It  can  last  long  enough  for  us  never  to  be  able  to  hold  up  our  heads  again. 
ClauseAnaph,"John  lowered  his  voice:  Have  you  ever  thought,  Hastings...it's  a  nightmare  to  me...who  did  it? "
ClauseAnaph,Because...because...who  could  have  done  it? 
NomAnaph,"Rapidly,  I  considered  it. "
ClauseAnaph,It  would  have  been  very  risky. 
ClauseAnaph,"Yes,  but  it  was  possible. "
NomAnaph,"But,  look  here,  Bauerstein  had  had  it  analysed  already? "
NomAnaph,Bauerstein  had  it  analysed...that's  just  it! 
NomAnaph,"No,  it  wasn't,  I  admitted  reluctantly. "
NomAnaph,I  hoped  and  prayed  it  would  not  occur  to  John  also. 
ClauseAnaph,"The  whole  thing  would  have  come  out,  then,  and  he  would  have  been  in  an  awkward  position,  for  no  one  would  have  believed  that  a  man  of  his  reputation  could  have  been  deceived  into  calling  it  heart  disease. "
NomAnaph,"Voices  rose  near  at  hand,  for  tea  was  spread  out  under  the  sycamore-tree,  as  it  had  been  on  the  day  of  my  arrival. "
NomAnaph,I'd  love  him  to  see  it. 
NomAnaph,"He  made  me  take  the  brooch  out  of  my  tie  the  other  day,  and  put  it  in  again,  because  he  said  it  wasn't  straight. "
NomAnaph,An  old  woman  came  and  opened  it. 
NomAnaph,"Had  he  not,  in  all  probability,  been  the  cause  of  it? "
ClauseAnaph,She  could  not  be  implicated...otherwise  I  should  have  heard  some  hint  of  it. 
ClauseAnaph,"Still,  I  shrank  from  blurting  blurting  it  out. "
ClauseAnaph,"I  would  never  have  dreamt  of  suspecting  the  the  doctor,  had  not  Poirot  put  it  into  my  head. "
ClauseAnaph,"It  worried  me  just  a  little,  for  it  suggested  the  possibility  that  there  might  be  further  arrests  to  come. "
ClauseAnaph,Did  you  not  know  it? 
ClauseAnaph,"But,  pausing  a  moment,  he  added:  Still,  it  does  not  surprise  me. "
ClauseAnaph,What  has  that  got  to  do  with  it? 
ClauseAnaph,Have  you  never  suspected  it? 
NomAnaph,"Well,  it  is  this:  that  Mrs.  Cavendish  does  not  care,  and  never  has  cared  one  little  jot  about  Dr  Bauerstein! "
ClauseAnaph,I  am  quite  sure  of  it. 
NomAnaph,He  spread  it  out  on  the  table. 
NomAnaph,"It  was  a  medium  sized  sheet  of  paper,  rather  dusty,  as  though  it  had  lain  by  for  some  time. "
NomAnaph,"At  the  top,  it  bore  the  printed  stamp  of  Messrs. "
NomAnaph,"Parkson's,  the  well-known  theatrical  costumiers,  and  it  was  addressed  to  ...(the  debatable  initial)  Cavendish,  Esq., "
NomAnaph,"It  might  be  T., "
NomAnaph,"or  it  might  be  L., "
NomAnaph,It  certainly  isn't  a  J. 
NomAnaph,"It  is  an  L., "
NomAnaph,Where  did  it  come  from?  I  asked  curiously. 
NomAnaph,It  confirms  a  surmise  of  mine. 
NomAnaph,"Having  deduced  its  existence,  I  set  Miss  Howard  to  search  for  it,  and,  as  you  see,  she  has  been  successful. "
NomAnaph,"She  meant,  replied  Poirot  promptly,  that  she  found  it  on  top  of  a  wardrobe. "
NomAnaph,"Yes...that  is  to  say,  I  believe  I  know  how  it  was  committed. "
NomAnaph,"My  good  Dorcas,  I  have  an  idea...a  little  idea...if  it  should  prove  justified,  what  magnificent  chance! "
ClauseAnaph,"Yes,  sir,  now  you  mention  it,  it  did;  though  I  don't  know  how  you  came  to  hear  of  it. "
NomAnaph,The  man  came  and  put  it  right  on  Tuesday  morning. 
NomAnaph,"Besides,  a  father  confessor  should  be  elderly,  it  is  not  at  all  the  role  for  a  young  man. "
ClauseAnaph,It  was  a  splendid  life...I  loved  it. 
ClauseAnaph,You  will  understand  me  when  I  say  that  it  was  a  deadly  life  for  a  girl  brought  up  as  I  had  been. 
NomAnaph,"Our  efforts  having  been  in  vain,  we  had  abandoned  the  matter,  hoping  that  it  might  turn  up  of  itself  one  day. "
NomAnaph,"It  is,  as  you  see,  highly  magnified. "
NomAnaph,But  what  were  Lawrence  Cavendish's  finger-marks  doing  on  it? 
NomAnaph,"Visitors  were  not  permitted  below  at  that  hour,  so,  in  spite  of  my  many  apologies,  Mademoiselle  Cynthia's  colleague  had  to  go  down  and  fetch  it  for  me. "
NomAnaph,No  doubt  it  has  struck  you  too. 
NomAnaph,This  is  the  third  time  we  run  up  against  it. 
NomAnaph,"Officially,  I  have  nothing  to  do  with  it. "
ClauseAnaph,"I  will  not  go  into  the  details  of  the  police  court  proceedings,  as  it  involves  many  tiresome  repetitions. "
ClauseAnaph,"This  having  come  to  his  stepmother's  ears,  she  taxed  him  with  it  on  the  afternoon  before  her  death,  and  a  quarrel  ensued,  part  of  which  was  overheard. "
NomAnaph,"This  will  was  found  destroyed  in  the  grate  of  her  bedroom  the  following  morning,  but  evidence  had  come  to  light  which  showed  that  it  had  been  drawn  up  in  favour  of  her  husband. "
NomAnaph,"She  was  an  old  lady,  and  might  possibly  have  forgotten  the  former  one;  or...this  seemed  to  him  more  likely...she  may  have  had  an  idea  that  it  was  revoked  by  her  marriage,  as  there  had  been  some  conversation  on  the  subject. "
NomAnaph,"It  may  have  done,  but  Mr.  Lawrence  was  away  from  home  part  of  June. "
NomAnaph,"In  the  event  of  a  parcel  arriving  for  him  whilst  he  was  away,  what  would  be  done  with  it? "
NomAnaph,It  would  either  be  put  in  his  room  or  sent  on  after  him. 
NomAnaph,"No,  sir,  I  should  leave  it  on  the  hall  table. "
NomAnaph,"You  do  not  know  if  it  was  sent  after  Mr.  Lawrence  Cavendish  to  Wales,  or  whether  it  was  put  in  his  room? "
NomAnaph,Don't  think  it  was  sent  after  him. 
ClauseAnaph,Should  have  remembered  it  if  it  was. 
NomAnaph,"Supposing  a  parcel  arrived  addressed  to  Mr.  Lawrence  Cavendish,  and  afterwards  it  disappeared,  should  you  remark  its  absence? "
NomAnaph,I  should  think  some  one  had  taken  charge  of  it. 
NomAnaph,How  did  you  come  to  look  for  it? 
NomAnaph,The  Belgian  detective  who  was  employed  on  the  case  asked  me  to  search  for  it. 
NomAnaph,Where  did  you  eventually  discover  it? 
NomAnaph,Did  you  not  find  it  yourself? 
NomAnaph,Then  you  must  know  where  you  found  it? 
NomAnaph,"Yes,  it  was  on  the  prisoner's  wardrobe. "
NomAnaph,"It  was  ordered  by  letter,  and  a  postal  order  was  enclosed. "
NomAnaph,And  yet  you  affirm  so  confidently  that  it  came  from  Styles. 
NomAnaph,"It  might,  in  fact,  have  been  any  postmark? "
NomAnaph,"Elizabeth  Wells,  second  housemaid  at  Styles,  stated  that  after  she  had  gone  to  bed  she  remembered  that  she  had  bolted  the  front  door,  instead  of  leaving  it  on  the  latch  as  Mr.  Inglethorp  had  requested. "
ClauseAnaph,"No,  what  he  is  trying  for  is  to  create  such  confusion  in  the  minds  of  the  jury  that  they  are  divided  in  their  opinion  as  to  which  brother  did  it. "
NomAnaph,"It  had  been  found  in  Mrs.  Inglethorp's  cheque  book,  and  on  being  reversed  at  a  mirror,  showed  clearly  the  words:  . "
NomAnaph,Does  it  not  strike  you  as  unlikely  that  a  man  who  had  committed  a  crime  should  keep  the  evidence  of  it  in  an  unlocked  drawer  for  anyone  to  find? 
NomAnaph,"In  other  words,  it  was  winter  underclothing. "
NomAnaph,"You  would  inherit  it,  wouldn't  you? "
NomAnaph,Then  how  do  you  account  for  the  fact  that  you  left  the  unmistakable  impress  of  your  finger-prints  on  it? 
NomAnaph,Then  why  did  you  take  it  up? 
NomAnaph,"They  all  declared  unanimously  that  it  was  certainly  not  his  hand-writing,  and  gave  it  as  their  view  that  it  might  be  that  of  the  prisoner  disguised. "
NomAnaph,"Cross-examined,  they  admitted  that  it  might  be  the  prisoner's  hand-writing  cleverly  counterfeited. "
NomAnaph,"Sir  Ernest  Heavywether's  speech  in  opening  the  case  for  the  defence  was  not  a  long  one,  but  it  was  backed  by  the  full  force  of  his  emphatic  manner. "
NomAnaph,"Not  only  was  it  entirely  circumstantial,  but  the  greater  part  of  it  was  practically  unproved. "
NomAnaph,Let  them  take  the  testimony  they  had  heard  and  sift  it  impartially. 
NomAnaph,"The  quarrel  which  had  taken  place  between  prisoner  and  his  stepmother  was  freely  admitted,  but  both  it  and  his  financial  embarrassments  had  been  grossly  exaggerated. "
NomAnaph,"Unfortunately,  he  had  met  with  no  one  on  the  way  there  or  back  who  could  vouch  for  the  truth  of  his  story,  but  luckily  he  had  kept  the  note,  and  it  would  be  produced  as  evidence. "
NomAnaph,"Tell  me,  is  there  nothing  familiar  about  the  hand-writing  of  it? "
NomAnaph,Do  you  not  think  that  it  bears  a  marked  resemblance  to  your  own  hand-writing...carelessly  hand-writing...carelessly  disguised? 
NomAnaph,I  put  it  to  you  that  it  is  your  own  hand-writing! 
ClauseAnaph,It  was  really  almost  like  a  conjuring  trick. 
NomAnaph,"You  stood  by  the  mantel-piece,  twiddling  the  things  on  it  in  your  usual  fashion,  and  your  hand  shook  like  a  leaf! "
NomAnaph,"And  you...you,  my  friend,  have  given  it  to  me! "
NomAnaph,"If  that  man  comes  into  the  house,  I  leave  it! "
NomAnaph,"I  at  once  examined  the  bedroom  of  the  deceased  which,  by  the  advice  of  the  doctors,  had  been  kept  locked,  and  was  consequently  exactly  as  it  had  been  when  the  tragedy  occurred. "
NomAnaph,"To  take  the  fragment  of  green  material  first,  I  found  it  caught  in  the  bolt  of  the  communicating  door  between  that  room  and  the  adjoining  one  occupied  by  Mademoiselle  Cynthia. "
NomAnaph,I  handed  the  fragment  over  to  the  police  who  did  not  consider  it  of  much  importance. 
NomAnaph,Nor  did  they  recognize  it  for  what  it  was...a  piece  torn  from  a  green  land  armlet. 
NomAnaph,"But  in  the  first  place  we  have  only  her  word  for  it,  since  it  was  she  who  tried  that  particular  door  and  reported  it  fastened. "
NomAnaph,We  will  say  that  she  is  seeking  for  something  and  has  not  yet  found  it. 
NomAnaph,"She  picks  it  up,  and  retreats  quickly  to  Mademoiselle  Cynthia's  room,  closing  the  door  behind  her. "
NomAnaph,She  had  only  made  it  out  that  very  afternoon! 
NomAnaph,The  second  'scandal'  she  spoke  of  was  not  the  same  as  the  first...and  it  concerned  herself! 
NomAnaph,"and  5 o'clock,  something  has  occurred  to  occasion  a  complete  revolution  of  feeling,  since  she  is  now  as  anxious  to  destroy  the  will,  as  she  was  before  to  make  it. "
NomAnaph,"She  demanded  it  from  Mrs.  Inglethorp  who  assured  her,  quite  truly,  that  it  had  nothing  to  do  with  that  matter. "
NomAnaph,"Possibly  she  applied  oil  to  the  hinges,  for  I  found  that  it  opened  quite  noiselessly  when  I  tried  it. "
NomAnaph,"The  servants  noticed  nothing,  since  Annie,  the  housemaid,  who  took  in  the  coffee,  brought  in  seven  cups,  not  knowing  that  Mr.  Inglethorp  never  drank  it,  whereas  Dorcas,  who  cleared  them  away  the  following  morning,  found  six  as  usual...or  strictly  speaking  she  found  five,  the  sixth  being  the  one  found  broken  in  Mrs.  Inglethorp's  room. "
NomAnaph,"I  accordingly  secured  a  sample  of  that  cocoa,  and  sent  it  to  be  analysed. "
NomAnaph,"He  did  not  have  it  tested,  as  I  did,  for  a  narcotic. "
NomAnaph,"She  is  seized  with  panic,  and  under  its  influence  she  hurries  downstairs,  and  quickly  drops  the  coffee-cup  and  saucer  used  by  Mademoiselle  Cynthia  into  a  large  brass  vase,  where  it  is  discovered  later  by  Monsieur  Lawrence. "
NomAnaph,I  shall  never  forget  it. 
NomAnaph,"But  was  the  coffee  poisoned,  or  was  it  not? "
NomAnaph,"We  come  to  a  little  difficulty  here,  since  Mrs.  Inglethorp  never  drank  it. "
NomAnaph,"It  was  still  damp,  it  exhaled  a  strong  odour  of  coffee,  and  imbedded  in  the  nap  of  the  carpet  I  found  some  little  splinters  of  china. "
NomAnaph,"What  had  happened  was  plain  to  me,  for  not  two  minutes  before  I  had  placed  my  little  case  on  the  table  near  the  window,  and  the  table,  tilting  up,  had  deposited  it  upon  the  floor  on  precisely  the  identical  spot. "
NomAnaph,"What  happened  next  is  mere  guess  work  on  my  part,  but  I  should  say  that  Mrs.  Inglethorp  picked  up  the  broken  cup  and  placed  it  on  the  table  by  the  bed. "
NomAnaph,"Feeling  in  need  of  a  stimulant  of  some  kind,  she  heated  up  her  cocoa,  and  drank  it  off  then  and  there. "
NomAnaph,There  was  no  need  to  introduce  it. 
NomAnaph,It  was  already  there...in  the  mixture. 
NomAnaph,"A  lady  in  England  lost  her  life  by  taking  a  similar  mixture:  the  precipitated  strychnine  collected  at  the  bottom,  and  in  taking  the  last  dose  she  swallowed  nearly  all  of  it!' "
NomAnaph,"One  or  two  of  those  powders  introduced  into  the  full  bottle  of  medicine  would  effectually  precipitate  the  strychnine,  as  the  book  describes,  and  cause  it  to  be  taken  in  the  last  dose. "
NomAnaph,"You  will  learn  later  that  the  person  who  usually  poured  out  Mrs.  Inglethorp's  medicine  was  always  extremely  careful  not  to  shake  the  bottle,  but  to  leave  the  sediment  at  the  bottom  of  it  undisturbed. "
NomAnaph,"Had  it  been  a  little  clearer  in  its  terms,  it  is  possible  that  Mrs.  Inglethorp,  warned  in  time,  would  have  escaped.. "
NomAnaph,"As  it  was,  she  realized  her  danger,  but  not  the  manner  of  it. "
NomAnaph,How  did  you  get  it? 
NomAnaph,"When  I  went  up  to  Styles  with  you  that  first  day,  I  had  no  idea  as  to  how  the  crime  had  been  committed,  but  from  what  I  knew  of  Mr.  Inglethorp  I  fancied  that  it  would  be  very  hard  to  find  anything  to  connect  him  with  it. "
NomAnaph,but  it  was  clever...his  idea! 
ClauseAnaph,It  was  most  easy  for  her. 
NomAnaph,What  could  be  easier  than  quietly  to  dissolve  one  or  more  of  those  powders  in  Mrs.  Inglethorp's  large  sized  bottle  of  medicine  when  it  came  from  Coot's? 
ClauseAnaph,"If  anyone  has  seen  either  of  them  touching  the  medicine,  they  will  have  forgotten  it  by  that  time. "
NomAnaph,"Yes,  it  was  a  clever  idea! "
NomAnaph,"He  fears  that  if  he  remains  in  the  room  he  may  have  to  open  it  again,  and  that  Mrs.  Inglethorp  might  catch  sight  of  the  letter  before  he  could  snatch  it  up. "
NomAnaph,"Mrs.  Inglethorp  reads  it,  and  becomes  aware  of  the  perfidy  of  her  husband  and  Evelyn  Howard,  though,  unfortunately,  the  sentence  about  the  bromides  conveys  no  warning  to  her  mind. "
NomAnaph,"There's  only  one  thing  I  can't  make  out,  why  didn't  he  destroy  it  at  once  when  he  got  hold  of  it? "
NomAnaph,Because  he  did  not  dare  take  the  biggest  risk  of  all...that  of  keeping  it  on  his  own  person. 
ClauseAnaph,"That  is  a  terrible  blow  to  him,  for  it  means  that  his  presence  in  the  room  cannot  be  concealed  as  he  had  hoped. "
NomAnaph,There  are  no  means  of  destroying  it;  and  he  dare  not  keep  it. 
NomAnaph,"Then,  all  the  time,  it  was  in  the  spill  vase  in  Mrs.  Inglethorp's  bedroom,  under  our  very  noses?  I  cried. "
NomAnaph,"You  rushed  down  to  Styles,  and  found  it  still  there? "
NomAnaph,But  I  still  can't  understand  why  Inglethorp  was  such  a  fool  as  to  leave  it  there  when  he  had  plenty  of  opportunity  to  destroy  it. 
NomAnaph,"I  was  not  sure  then  if  Inglethorp  was  the  criminal  or  not,  but  if  he  was  I  reasoned  that  he  would  not  have  the  paper  on  him,  but  would  have  hidden  it  somewhere,  and  by  enlisting  the  sympathy  of  the  household  I  could  effectually  prevent  his  destroying  it. "
NomAnaph,"He  was  therefore  forced  to  depart  from  the  house,  leaving  it  in  the  spill  vase. "
NomAnaph,"The  paper  was  safe  where  it  was;  since  no  one  had  thought  of  looking  there  in  the  first  week,  it  was  not  likely  they  would  do  so  afterwards. "
NomAnaph,The  '1'  was  written  in  before  the  '7'  to  turn  it  into  the  '17th'. 
NomAnaph,It  concealed  a  very  opposite  emotion. 
ClauseAnaph,"It  must,  in  fact,  have  been  distinctly  annoying  to  the  pair  of  schemers. "
NomAnaph,But  he  declared  that  he  saw  it  bolted!  I  cried. 
NomAnaph,And  that  was  just  what  confirmed  my  suspicion  that  it  was  not. 
NomAnaph,"I  was  fairly  certain  that  it  was  Mrs.  Cavendish  who  had  hidden  it,  but  I  had  to  make  sure. "
ClauseAnaph,It  all  arose  from  a  misunderstanding. 
ClauseAnaph,He  knew  it. 
NomAnaph,"Pardon  me,  mon  ami,  but  you  did  not  understand  it  in  the  least. "
ClauseAnaph,I  could  have  cleared  him...though  it  might  have  meant  a  failure  to  convict  the  real  criminals. 
